45.150.128.159:443#TH [211.61ms 10.23Mbps]
159.54.134.203:443#MX [212.06ms 1.26Mbps]
103.231.72.6:8443#LT [212.35ms 7.2Mbps]
185.253.8.64:2053#KZ [213.33ms 6.03Mbps]
185.66.71.149:2053#BY [213.62ms 5.54Mbps]
23.27.28.216:8443#MY [214.11ms 3.69Mbps]
45.12.136.62:2053#LT [214.34ms 7.1Mbps]
91.229.239.172:443#MD [215.47ms 5.67Mbps]
185.80.128.115:8443#LT [215.74ms 6.32Mbps]
91.219.236.202:2053#HU [216.41ms 2.95Mbps]
216.238.88.154:8443#MX [216.6ms 4.62Mbps]
91.208.162.68:443#MD [216.64ms 7.02Mbps]
212.227.144.37:8443#ES [217.21ms 6.11Mbps]
195.123.244.83:443#CZ [217.53ms 8.8Mbps]
91.208.184.71:8443#MD [218.61ms 4.27Mbps]
103.231.72.240:443#LT [218.88ms 0.51Mbps]
217.61.61.242:443#IT [219.69ms 8.29Mbps]
212.192.6.42:443#TR [220.12ms 6.3Mbps]
91.92.136.216:2053#BG [222.46ms 0.17Mbps]
91.132.132.243:8443#AM [223.07ms 7.31Mbps]
185.203.119.166:2053#BG [223.93ms 8.7Mbps]
109.89.106.12:443#BE [223.99ms 3.97Mbps]
85.206.172.44:443#LT [226.32ms 0.37Mbps]
45.89.107.78:2053#MY [226.8ms 6.02Mbps]
45.136.57.82:2053#KZ [228.28ms 8.15Mbps]
38.180.194.222:2053#IT [228.33ms 7.39Mbps]
209.38.23.235:443#AU [228.94ms 2.05Mbps]
89.46.236.145:443#RS [229.69ms 0.4Mbps]
51.161.196.38:443#AU [231.46ms 4.73Mbps]
217.156.67.40:443#MD [231.59ms 5.88Mbps]
209.38.22.182:443#AU [231.62ms 1.41Mbps]
176.97.76.192:443#RO [232.53ms 9.6Mbps]
45.150.131.246:443#TH [232.76ms 6.51Mbps]
188.240.213.41:2053#KG [232.87ms 6.74Mbps]
80.211.48.113:443#IT [233.49ms 5.78Mbps]
95.164.114.217:443#KZ [233.65ms 4.95Mbps]
38.180.100.80:443#RS [234.2ms 1.79Mbps]
194.48.248.157:443#MD [234.29ms 5.81Mbps]
176.74.219.73:8443#CZ [234.61ms 5.06Mbps]
